"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"FMC","4,71M","1,71B","3,47B","-0,97","0,665"
"L3Harris Technologies","1,36M","64,01B","21,87B","40,29","0,66"
"Healthpeak Properties","8,27M","11,81B","2,82B","167,80","1,11"
"Welltower","3,33M","131,13B","9,91B","128,50","0,832"
"Hormel Foods","4,96M","13,8B","12,11B","28,90","0,32"
"Invesco","5,48M","11,44B","6,38B","-16,23","1,63"
"Iron Mountain","2,18M","26,29B","6,64B","164,59","1,15"
"Eversource Energy","2,61M","25,41B","13,15B","18,63","0,76"
"NRG","1,94M","31,01B","29,78B","21,24","1,25"
"ONEOK","4,31M","50,63B","31,56B","14,80","0,94"
"Republic Services","1,51M","67,71B","16,50B","32,54","0,55"
"Roper Technologies","1,28M","37,42B","7,90B","24,91","0,94"
"Ventas","2,93M","37,78B","5,54B","151,55","0,79"
"WEC Energy","2,16M","36,41B","9,80B","23,56","0,556"
"Blackstone","4,33M","155,84B","14,21B","32,73","1,75"
"Marathon Petroleum","2,3M","57,77B","133,43B","14,82","0,708"
"Broadcom","30,73M","1,47T","63,89B","65,21","1,20"
"NXP","2,97M","55,9B","12,27B","27,80","1,46"
"Tesla","73,23M","1,49T","94,83B","335,37","1,89"
"Take-Two","1,84M","35,78B","6,56B","-9,20","0,931"
"Dollar Tree","3,27M","23,78B","18,96B","22,62","0,75"
"Align","1,24M","12,6B","4,03B","28,55","1,83"
"Builders FirstSource","2,1M","13,28B","15,65B","22,90","1,56"
"Charter Communications","1,98M","31,77B","54,77B","6,20","1,05"
"CoStar","5,32M","21,61B","3,06B","","0,84"
"DexCom","5,55M","27,26B","4,52B","39,06","1,52"
"Erie Indemnity","164,4K","14,94B","4,04B","23,27","0,39"
"Fortinet","6,11M","58,7B","6,55B","32,56","1,09"
"Interactive Brokers","4,5M","117,89B","6,21B","32,21","1,24"
"IDEXX Labs","540,19K","51,39B","4,30B","49,45","1,66"
"Incyte","2,04M","20,17B","4,81B","17,41","0,74"
"Jack Henry&Associates","809,65K","12,81B","2,46B","24,94","0,71"
"MarketAxesss","646,42K","6,05B","839,26M","28,00","0,99"
"Monolithic","678,71K","55,38B","2,66B","29,51","1,46"
"Nordson","442,45K","15,74B","2,79B","33,38","1,02"
"ON Semiconductor","9,04M","25,39B","6,19B","82,95","1,57"
"PTC","974,95K","18,31B","2,86B","22,27","1,03"
"Insulet","807,5K","17,1B","2,52B","70,59","1,38"
"Pool","800,07K","9,59B","5,29B","23,68","1,23"
"Super Micro Computer","28,82M","18,42B","28,06B","21,66","1,52"
"Bio-Techne","2,07M","10,26B","1,22B","133,48","1,47"
"Zebra","651,3K","12,21B","5,26B","24,44","1,75"
"BorgWarner","2,87M","10,77B","14,18B","81,43","1,04"
"T-Mobile US","5,53M","225,78B","85,85B","19,45","0,44"
"Quanta Services","1M","71,24B","27,19B","70,58","1,14"
"Leidos","832,08K","23,79B","17,33B","17,46","0,59"
"TE Connectivity","2,11M","61,24B","18,10B","30,21","1,24"
"Mid-America Apartment","1M","15,66B","2,21B","35,73","0,782"
"Charles River Laboratories","780,17K","9,04B","4,02B","-110,31","1,64"
"Huntington Ingalls Industries","535,12K","14,5B","12,48B","26,84","0,371"
"Mettler-Toledo","138,54K","28,25B","3,94B","34,50","1,40"
"Federal Realty","693,65K","9,1B","1,26B","26,51","1,03"
"Live Nation Entertainment","2,88M","32,11B","24,57B","99,37","1,20"
"Martin Marietta Materials","403,94K","40,46B","6,90B","34,50","1,16"
"FactSet Research","828,96K","7,76B","2,36B","13,34","0,74"
"Raymond James Financial","1,23M","36B","14,22B","13,73","1,00"
"Digital","1,99M","57,58B","5,84B","42,51","1,13"
"Essex Property","514,92K","16,77B","1,94B","24,29","0,738"
"Fair Isaac","251,97K","32,2B","2,06B","50,00","1,29"
"Cooper","2,63M","15,7B","4,09B","42,93","1,03"
"Molina Healthcare","1,55M","9,09B","42,84B","10,99","0,55"
"Everest","387,59K","13,26B","17,54B","8,82","0,331"
"Regency Centers","1,24M","14,06B","1,58B","34,73","0,94"
"Dollar General","3,67M","31,9B","42,12B","25,03","0,25"
"Transdigm","351,1K","71,34B","9,11B","40,70","0,895"
"Atmos Energy","1,3M","28,37B","4,87B","22,35","0,758"
"Brown&Brown","2,68M","24,42B","5,76B","22,77","0,786"
"Domino’s Pizza Inc","599,1K","13,29B","4,85B","22,90","1,15"
"HCA","1,23M","117,24B","75,60B","18,20","1,37"
"Hubbell","502,86K","25,9B","5,84B","29,45","1,01"
"Rollins","2,6M","31,02B","3,68B","60,66","0,79"
"STERIS","659,94K","23,93B","5,83B","36,86","1,04"
"ResMed","1,03M","38,9B","5,40B","26,46","0,88"
